title,price,metal,link,image
Islands off Caria - Drachm,1000.0,Silver,https://www.numiscorner.com/products/1271391-islands-off-caria-drachm-ca-170-168-bc-rhodes-silver-ms-60-62-sear-5092,https://www.numiscorner.com/cdn/shop/files/1271391A.progressive.jpg?v=1734469219
Nomos - ca. 540-510 BC,499.0,Silver,https://www.numiscorner.com/products/134125-nomos-ca-540-510-bc-metapontum-silver-vf-20-25-hgc-1027,https://www.numiscorner.com/cdn/shop/files/134125A.progressive.jpg?v=1728399751
Ionia - Æ Unit,169.0,Bronze,https://www.numiscorner.com/products/1505641-ionia-ae-unit-ca-260-215-bc-miletus-bronze-au-50-53,https://www.numiscorner.com/cdn/shop/files/1505641A.progressive.jpg?v=1731506444
Phrygia - Æ Unit,139.0,Bronze,https://www.numiscorner.com/products/1505622-phrygia-ae-unit-2nd-1st-century-bc-kibyra-silver-au-50-53,https://www.numiscorner.com/cdn/shop/files/1505622A_00156b6a-b50e-4db3-9d19-12abf4ce9ccb.progressive.jpg?v=1734531023
Pisidia - Æ Unit,119.0,Bronze,https://www.numiscorner.com/products/1505617-pisidia-ae-unit-1st-century-bc-termessos-bronze-ef-40-45,https://www.numiscorner.com/cdn/shop/files/1505617A.progressive.jpg?v=1731495874
Lydia - Æ Unit,109.0,Bronze,https://www.numiscorner.com/products/1505585-lydia-ae-unit-2nd-1st-century-bc-sardis-bronze-au-50-53,https://www.numiscorner.com/cdn/shop/files/1505585A.progressive.jpg?v=1728424836
Lydia - Æ Unit,89.95,Bronze,https://www.numiscorner.com/products/1505589-lydia-ae-unit-2nd-1st-century-bc-sardis-bronze-ef-40-45,https://www.numiscorner.com/cdn/shop/files/1505589A.progressive.jpg?v=1728428421
Lydia - Æ Unit,83.95,Bronze,https://www.numiscorner.com/products/1505434-lydia-ae-unit-1st-century-bc-philadelphia-bronze-ef-40-45-sng-cop-350,https://www.numiscorner.com/cdn/shop/files/1505434A.progressive.jpg?v=1728428591
Cilicia - Æ Unit,76.95,Bronze,https://www.numiscorner.com/products/1505609-cilicia-ae-unit-2nd-3rd-centuries-ad-anemurium-bronze-ef-40-45,https://www.numiscorner.com/cdn/shop/files/1505609A.progressive.jpg?v=1731510213
Caria - Æ Unit,75.95,Bronze,https://www.numiscorner.com/products/1505642-caria-ae-unit-2nd-century-bc-keramos-bronze-vf-30-35,https://www.numiscorner.com/cdn/shop/files/1505642A.progressive.jpg?v=1731510238
Lydia - Æ Unit,72.95,Bronze,https://www.numiscorner.com/products/1505587-lydia-ae-unit-2nd-1st-century-bc-sardis-bronze-ef-40-45,https://www.numiscorner.com/cdn/shop/files/1505587A.progressive.jpg?v=1728439225
Mysia - Æ Unit,72.95,Bronze,https://www.numiscorner.com/products/1505674-mysia-ae-unit-ca-380-330-bc-adramytion-bronze-au-50-53,https://www.numiscorner.com/cdn/shop/files/1505674A.progressive.jpg?v=1732827740
